stop_id,stop_name,stop_lon,stop_lat
972,Flughafen Terminal,11.786199666666667,48.353765
13903,Flughafen Besucherpark,11.764172333333335,48.352114666666665
9080,Neufahrn(b Freising),11.66151275,48.321792249999994
1576,Eching,11.616537000000001,48.3028965
3263,Lohhof,11.581216,48.288187666666666
637,Unterschleißheim,11.5687425,48.2739355
3566,Oberschleißheim,11.557936333333332,48.257395
14506,Feldmoching,11.540861999999999,48.21365466666666
5870,Fasanerie,11.524186,48.196954500000004
7544,Moosach,11.505761333333332,48.180475666666666
9374,Laim,11.5029105,48.14387025
11586,Hirschgarten,11.519227333333333,48.143476
10734,Donnersbergerbrücke,11.5369902,48.14267159999999
12960,Hackerbrücke,11.548418333333332,48.14309166666666
7640,Hbf,11.55783225,48.141350499999994
13692,Karlsplatz,11.565718666666667,48.13943733333334
13337,Marienplatz,11.575386,48.137047
5508,Isartor,11.583137,48.13423233333333
8257,Rosenheimer Platz,11.592954333333333,48.12925900000001
1123,Ostbahnhof,11.604064666666666,48.12785683333333
13736,Leuchtenbergring,11.6159778,48.13425300000001
7742,Pulling(b Freising),11.7034625,48.364727
4181,Freising,11.7444265,48.3950625
7803,Giesing,11.596302,48.110906666666665
7897,St.Martin-Str.,11.595743666666666,48.11840000000001
5266,Erding,11.912067333333333,48.30337933333334
9449,Altenerding,11.901252666666666,48.292989999999996
7663,Aufhausen(b Erding),11.893838,48.27508
5404,St Koloman,11.882977,48.243515
12264,Ottenhofen,11.879315333333333,48.218134
1754,Markt Schwaben,11.8621746,48.1935934
628,Poing,11.809790333333334,48.17138433333334
7962,Grub,11.782493333333333,48.164504666666666
6678,Heimstetten,11.759250333333332,48.15866066666666
12501,Feldkirchen(b München),11.731892,48.15179966666667
1018,Riem,11.677932333333333,48.14397733333333
10048,Berg am Laim,11.633199333333332,48.13400633333333
743,Obermenzing,11.478041333333332,48.164253333333335
10775,Untermenzing,11.472706,48.177739
9675,Allach,11.468090333333334,48.189770333333335
10423,Karlsfeld,11.459503666666668,48.211339333333335
12642,Dachau Bahnhof,11.443457200000001,48.2545118
10915,Dachau Stadt,11.439808500000002,48.2666065
9748,Bachern,11.3796105,48.279845
11532,Schwabhausen,11.364637666666667,48.30107433333333
10961,Niederroth,11.3888125,48.322004
11690,Markt Indersdorf,11.3786265,48.35252
9299,Arnbach,11.344115,48.341327500000006
13685,Erdweg,11.303879,48.333374
10086,Kleinberghofen,11.274977499999999,48.354564499999995
2477,Altomünster,11.254739666666666,48.38521466666666
557,Petershausen(Obb),11.47005,48.413649
1747,Vierkirchen-Esterhofen,11.445136999999999,48.361222
9140,Röhrmoos,11.444668333333333,48.33371233333333
9408,Hebertshausen,11.454813333333334,48.29056933333334
7036,Pasing,11.459987624999998,48.149225875
4618,Heimeranplatz,11.5317265,48.13335574999999
1630,Mittersendling,11.536368666666666,48.10792033333333
3026,Siemenswerke,11.532692333333335,48.094912
9954,Solln,11.52695,48.080102000000004
13764,Großhesselohe Isartalbf,11.530867666666666,48.071048
4735,Pullach,11.521777666666667,48.058885333333336
3463,Höllriegelskreuth,11.509634,48.04331833333333
2932,Grafrath,11.153449,48.13214725
10962,Schöngeising,11.191454499999999,48.1464065
4086,Buchenau,11.22507225,48.16088
5374,Fürstenfeldbruck,11.262953000000001,48.17206466666667
3104,Eichenau,11.3285865,48.17922
3784,Puchheim,11.353339666666665,48.17205666666666
2755,Aubing,11.4128305,48.156002
12468,Leienfelsstr.,11.428241,48.154566
7849,Geltendorf,11.037455,48.10599
14447,Türkenfeld,11.0765015,48.104603
9955,Deisenhofen,11.583680333333334,48.01946533333333
1906,Furth(b Deisenhofen),11.593576666666666,48.03576133333333
9286,Taufkirchen,11.609135,48.05133333333333
3630,Unterhaching,11.612356666666665,48.06490466666667
1615,Fasanenpark,11.609369000000001,48.07988500000001
5272,Fasangarten,11.605350333333334,48.092928666666666
6404,Langwied,11.432472333333331,48.16308433333334
6024,Lochhausen,11.407751,48.176647333333335
6290,Gröbenzell,11.373824,48.195056666666666
3996,Olching,11.335512333333332,48.21000566666667
411,Esting,11.317178333333336,48.212194333333336
1375,Gernlinden,11.299981,48.21306966666666
2265,Maisach,11.256689999999999,48.21413733333333
4278,Malching,11.219255,48.2157725
2790,Mammendorf,11.175095333333333,48.216804
13192,Sauerlach,11.6546305,47.9741785
13839,Otterfing,11.682121,47.91139
1050,Holzkirchen,11.697234,47.88438399999999
14593,Trudering,11.663396333333333,48.12575966666666
8038,Gronsdorf,11.698554000000001,48.118413333333336
10996,Haar,11.731038333333332,48.11144866666667
13836,Vaterstetten,11.764094,48.10417866666666
13704,Baldham,11.786927333333333,48.09921933333334
13037,Zorneding,11.8326,48.08957566666666
610,Eglharting,11.864079333333335,48.08241933333333
11661,Kirchseeon,11.887271666666669,48.070953333333335
6426,Grafing Bahnhof,11.940388333333331,48.043303333333334
4852,Ebersberg,11.969991,48.07498375
14716,Grafing Stadt,11.9628605,48.047366
993,Tutzing,11.27313525,47.907323999999996
1385,Feldafing,11.290085000000001,47.946951
197,Possenhofen,11.306540666666669,47.962018
4950,Starnberg,11.343324999999998,47.99592425
2487,Starnberg Nord,11.347375666666666,48.00582466666666
4036,Gauting,11.376051333333335,48.070538
8480,Stockdorf,11.400774666666669,48.09324766666666
12313,Planegg,11.413638333333333,48.10544666666667
1456,Gräfelfing,11.425701333333334,48.11995733333333
1939,Lochham,11.430947666666667,48.12847
230,Westkreuz,11.442005,48.14918733333334
5504,Wolfratshausen,11.427160666666666,47.914607999999994
5990,Icking,11.436571,47.95311999999999
