route_id,service_id,direction_id,trip_id
1,82,0,33357
10,82,0,9819
100,100,0,21599
100,103,0,1027
100,103,0,1241
100,103,0,14180
100,103,0,14390
100,103,0,21003
100,103,0,29119
100,103,0,29902
100,103,0,30322
100,103,0,31855
100,103,0,31940
100,103,0,32780
100,103,0,33640
100,103,0,33731
100,103,0,34674
100,103,0,38408
100,103,0,39893
100,103,0,40931
100,103,0,44869
100,103,0,46594
100,103,0,46655
100,103,0,4735
100,103,0,47774
100,103,0,50343
100,103,0,52295
100,103,0,55808
100,103,0,57479
100,103,0,57679
100,103,0,60865
100,103,0,6324
100,103,0,68218
100,103,0,69667
100,103,0,8530
100,103,0,9320
100,122,0,12771
100,122,0,16632
100,122,0,67960
100,129,0,2448
100,129,0,54375
100,129,0,68459
100,129,0,71376
100,130,0,52356
100,130,0,64955
100,167,0,17671
100,167,0,36793
100,80,0,18532
100,80,0,39352
100,80,0,46238
100,80,0,47473
100,80,0,6304
100,81,0,10374
100,81,0,11676
100,81,0,12872
100,81,0,14207
100,81,0,14593
100,81,0,17161
100,81,0,17350
100,81,0,18136
100,81,0,18278
100,81,0,20054
100,81,0,20171
100,81,0,20790
100,81,0,21088
100,81,0,2174
100,81,0,23213
100,81,0,24432
100,81,0,2480
100,81,0,25055
100,81,0,25468
100,81,0,2730
100,81,0,28325
100,81,0,29935
100,81,0,3015
100,81,0,30159
100,81,0,31362
100,81,0,32308
100,81,0,33004
100,81,0,33625
100,81,0,34001
100,81,0,34243
100,81,0,34991
100,81,0,35274
100,81,0,35857
100,81,0,3647
100,81,0,37529
100,81,0,37622
100,81,0,39113
100,81,0,41266
100,81,0,41642
100,81,0,4271
100,81,0,43725
100,81,0,43738
100,81,0,46935
100,81,0,50087
100,81,0,50907
100,81,0,516
100,81,0,52713
100,81,0,52963
100,81,0,53017
100,81,0,53447
100,81,0,53990
100,81,0,54426
100,81,0,55124
100,81,0,58439
100,81,0,58788
100,81,0,58866
100,81,0,59330
100,81,0,59388
100,81,0,59799
100,81,0,61952
100,81,0,62624
100,81,0,62866
100,81,0,64135
100,81,0,6481
100,81,0,65801
100,81,0,66384
100,81,0,68416
100,81,0,69687
100,81,0,69831
100,81,0,7310
100,81,0,8926
100,83,0,10021
100,83,0,18858
100,83,0,19605
100,83,0,19879
100,83,0,21604
100,83,0,21683
100,83,0,22656
100,83,0,23035
100,83,0,24312
100,83,0,26873
100,83,0,28042
100,83,0,30730
100,83,0,31372
100,83,0,31823
100,83,0,34403
100,83,0,34513
100,83,0,37218
100,83,0,38052
100,83,0,43227
100,83,0,46343
100,83,0,47290
100,83,0,50638
100,83,0,52911
