stop_name,stop_id,stop_lat,stop_lon
Alsdorf-Annapark,1557,50.870518,6.156661
Alsdorf-Busch,3230,50.876587,6.140586
Alsdorf-Kellersberg,12915,50.867527,6.167354
Alsdorf-Mariadorf,1198,50.861977,6.188454
Alsenz,10854,49.728203,7.817346
Alsenz,13351,49.727493,7.817189
Alsenz,4611,49.728203,7.817167
Alsenz,5423,49.728203,7.817229
Alsfeld(Oberhess),10969,50.751152,9.264454
Alsfeld(Oberhess),1948,50.751152,9.264454
Alsfeld(Oberhess),7122,50.751152,9.264454
Alsheim,3153,49.76531,8.342492
Alsheim,6578,49.7653,8.342555
Alt Hüttendorf,2254,52.957592,13.783574
Alt Hüttendorf,9625,52.957592,13.783574
Alt Rosenthal,10963,52.550404,14.278627
Alt Rosenthal,14576,52.550404,14.278627
"Alt Rosenthal, Bahnhof",11634,52.55032,14.278472
"Alt Rosenthal, Bahnhof",8874,52.55031,14.278016
Altbach,131,48.72028,9.382352
Altbach,13315,48.72036,9.382462
Altdorf West,1912,49.391148,11.341467
Altdorf(b Nürnberg),5260,49.390007,11.35353
Altdorf(b Nürnberg),6819,49.390007,11.35353
Altdöbern,8405,51.65251,14.009376
Alte Veste,6532,49.454323,10.972363
Altefähr,10535,54.322926,13.14101
Altefähr,8000,54.322926,13.14101
Altena(Westf),5182,51.302013,7.668693
Altena(Westf),8819,51.301956,7.668576
Altenbach,1315,51.35587,12.682324
Altenbach,2380,51.35587,12.682324
Altenbamberg,2801,49.786858,7.830745
Altenbamberg,6438,49.786858,7.830745
Altenbeken,10049,51.76628,8.942396
Altenbeken,13220,51.766327,8.942423
Altenbeken,570,51.766792,8.943753
Altenbeken,6803,51.766705,8.943861
Altenberge,10505,52.052105,7.481322
Altenberge,3677,52.052128,7.481385
Altenburg,9031,50.996647,12.444019
Altenburg,9227,50.996647,12.444019
Altenerding,10492,48.292656,11.90098
Altenerding,8375,48.29357,11.901744
Altenerding,9449,48.292744,11.901034
Altenfeld(Rhön),368,50.450706,9.849064
Altenglan,12141,49.54815,7.462134
Altenglan,14591,49.548134,7.462063
Altengörs,14515,53.898697,10.355554
Altenhasungen,500,51.34354,9.225737
Altenkirchen(Westerwald),10518,50.684418,7.638257
Altenkirchen(Westerwald),6445,50.684418,7.638257
Altenmarkt(Alz),6003,47.999817,12.536027
Altenseelbach,11809,50.7839,7.9925
Altenstadt(Hess),12933,50.283302,8.944282
Altenstadt(Hess),13185,50.283302,8.944282
Altenstadt(Iller),10698,48.16119,10.109983
Altenstadt(Iller),6604,48.16119,10.109983
Altenstadt(Waldnaab),14623,49.71568,12.16487
Altenstadt(Waldnaab),5007,49.71568,12.16487
Altenstadt-Höchst,13346,50.269753,8.923454
Altenstadt-Lindheim,5685,50.291164,8.977698
Altentreptow,12718,53.69195,13.242847
Altenwillershagen,14808,54.259407,12.572818
Altenwillershagen,1592,54.259407,12.572818
Altersbach,3980,50.70064,10.544522
Altes Lager,12350,52.015865,12.992407
Altglashütten-Falkau,1482,47.85939,8.114113
Altglashütten-Falkau,942,47.8591,8.11441
Althegnenberg,8860,48.23634,11.063067
Althegnenberg,9980,48.236286,11.063022
Altheim(Hess),6391,49.923798,8.891565
Altheim(Hess),9354,49.923798,8.891565
Althof,6046,54.090485,11.922171
Altmarkt/Regierungspräsidium  Ri. Am Stern,13967,51.316444,9.50445
Altmarkt/Regierungspräsidium  von Am Stern,5527,51.3161,9.504862
Altmittweida,2527,50.968494,12.959626
Altmittweida,4295,50.968784,12.959752
Altmorschen,10299,51.067276,9.610756
Altmorschen,11479,51.067276,9.610756
Altomünster,11301,48.38492,11.255133
Altomünster,2477,48.385044,11.254893
"Altomünster, Bahnhof",11336,48.38568,11.254193
Altranft,4511,52.7634,14.0823
Altshausen,567,47.930836,9.551229
Altshausen,6890,47.93071,9.551478
Altshausen,9535,47.93071,9.551478
Altstädten(Allgäu),11795,47.48855,10.280907
Altstädten(Allgäu),8242,47.48855,10.280907
Alttann,774,47.841213,9.793037
Altvaterstraße/Lichtenau,13604,47.86008,11.081276
Altötting,13436,48.22124,12.67479
Altötting,9100,48.22124,12.67479
Alveslohe,2857,53.791454,9.916375
Alzenau Burg,5393,50.08793,9.07434
Alzenau Nord,12466,50.089443,9.051385
Alzenau(Unterfr),8695,50.088715,9.065603
Alzey,10942,49.75037,8.10999
Alzey,12164,49.7502,8.109749
Alzey,5541,49.75044,8.109829
Alzey,7550,49.75035,8.110035
Alzey,8591,49.750416,8.109883
Alzey Süd,4392,49.737995,8.118884
Alzey West,7056,49.74098,8.107255
Am Silbernen Mann Drängetal Gleis 1,13615,51.798153,10.729809
Am Silbernen Mann Drängetal Gleis 2,12852,51.798153,10.729896
Am Stern  von Altmarkt,1785,51.31799,9.500695
Am Stern  von Holländ. Platz,1394,51.31838,9.500412
Am Stern  von Königsplatz,3071,51.31765,9.50006
Am Stern  von Lutherplatz,14562,51.318153,9.499707
Am Weinberg  Ri. Heinrich-Heine-Straße,9308,51.30749,9.48809
Am Weinberg  Ri. Rathaus,5318,51.307606,9.488421
Amberg,1300,49.447617,11.862902
Amberg,8282,49.447617,11.862902
Amberg,9317,49.447617,11.862902
Ammern,8378,51.233345,10.458086
Amorbach,5019,49.64552,9.223509
Amorbach,7817,49.64552,9.223509
Ampfing,13849,48.25395,12.410919
Ampfing,8451,48.25395,12.410919
Amriswil,10103,47.55057,9.301917
Amsdorf,13567,51.463562,11.71979
Amsdorf,8827,51.463562,11.71979
Amstetten(Württ),5596,48.57999,9.871489
Amstetten(Württ),9457,48.579998,9.871557
Amtshainersdorf,12489,50.9662,14.232207
Andernach,2614,50.434544,7.404839
Andernach,3782,50.434544,7.404839
Andernach,4540,50.434544,7.404839
Andernach,4846,50.434544,7.404839
Andernach,5481,50.434544,7.404839
Andisleben,10177,51.082645,10.926137
Andisleben,12057,51.0827,10.926207
"Andisleben, Vor dem See",4379,51.078915,10.927194
"Andisleben, Vor dem See",4865,51.0782,10.927638
Angermund,5507,51.331013,6.781705
Angermünde,1007,53.01584,13.996184
Angermünde,13823,53.017014,13.994776
Angermünde,4640,53.01574,13.995672
Angermünde,8142,53.015854,13.996267
Angermünde,8785,53.015793,13.995908
Angern-Rogätz,1148,52.338463,11.759535
Angern-Rogätz,5003,52.338463,11.759535
Angersbach,1169,50.631153,9.446556
Angersdorf,6850,51.460407,11.903139
Angersdorf,8084,51.460407,11.903139
Anklam,12158,53.85625,13.701518
Anklam,15000,53.8563,13.701554
Anklam,9550,53.856102,13.701827
Annaberg-Buchholz Mitte,1248,50.56681,12.999062
Annaberg-Buchholz Süd,3348,50.55584,12.997436
Annaberg-Buchholz Süd,6855,50.55586,12.997347
Annaberg-Buchholz unterer Bf,10885,50.579235,12.998155
Annaberg-Buchholz unterer Bf,1985,50.57922,12.998065
Annaburg,11562,51.72868,13.032757
Annaburg,12089,51.72868,13.032757
Annweiler am Trifels,13241,49.20552,7.966673
Annweiler am Trifels,14994,49.205738,7.966979
Annweiler am Trifels,5642,49.205673,7.967024
Annweiler-Sarnstall,7267,49.208725,7.937192
Anrath,11250,51.285538,6.45023
Anrath,1618,51.285538,6.45023
Ansbach,11061,49.29803,10.578239
Ansbach,12232,49.29803,10.578239
Ansbach,13752,49.29803,10.578239
Ansbach,14258,49.29803,10.578239
Ansbach,6686,49.29803,10.578239
Ansbach,7818,49.29803,10.578239
Ansbach,9466,49.29803,10.578239
Antoninov,10429,50.771576,15.249396
Antonsthal,14042,50.499878,12.75499
Antonsthal,4146,50.499798,12.755017
Anwanden,12721,49.411694,10.930396
Anwanden,13655,49.411694,10.930396
Anzefahr,13379,50.845592,8.859866
Anzefahr,6732,50.845512,8.859767
Anzenkirchen,662,48.43474,13.021996
Apach(Moselle),14072,49.458786,6.371969
Apach(fr),13504,49.46902,6.369699
Apensen,12530,53.44157,9.61174
Apfeldorf Mitte,7045,47.894318,10.934087
"Apfeldorfhausen,Apfeldorfhausen",12685,47.90589,10.943906
Apolda,1342,51.03094,11.526136
Apolda,2968,51.03094,11.526136
Apolda,4519,51.03094,11.526136
Appenweier,10589,48.541462,7.97319
Appenweier,7411,48.541462,7.97319
Appenweier,8021,48.541462,7.97319
Appenweier,9151,48.541462,7.97319
Arbon,14167,47.51051,9.433224
Arbon Seemoosriet,14984,47.521343,9.424721
Arensdorf(Köthen),14694,51.70951,12.007416
Arensdorf(Köthen),33,51.70951,12.007416
Arensdorf(Köthen),5999,51.70951,12.007416
Arenshausen,13263,51.375053,9.968559
Arenshausen,319,51.375053,9.968559
Arfurt(Lahn),13233,50.40661,8.210325
Arfurt(Lahn),14821,50.40661,8.210325
Armsheim,4147,49.808075,8.07439
Armsheim,5582,49.808044,8.074309
Armsheim,8637,49.80812,8.074507
Arnbach,5373,48.34132,11.344044
Arnbach,9299,48.341335,11.344186
Arnhem Centraal,11918,51.98478,5.901003
Arnhem Centraal,13646,51.98478,5.901003
Arnhem Centraal,2019,51.98478,5.901003
Arnhem Centraal,3586,51.98478,5.901003
Arnhem Centraal,3801,51.98478,5.901003
Arnhem Centraal,6011,51.98478,5.901003
Arnhem Centraal,7029,51.98478,5.901003
Arnsberg(Westf),11137,51.405922,8.068928
Arnsberg(Westf),2472,51.405544,8.067527
Arnschwang,2107,49.27461,12.8116
Arnschwang,5817,49.27461,12.8116
Arnsdorf(Dresden),10347,51.09286,13.9819
Arnstadt Hbf,2387,50.841938,10.948262
Arnstadt Hbf,2602,50.841938,10.948262
Arnstadt Hbf,5962,50.841938,10.948262
Arnstadt Süd,471,50.831085,10.954958
Arnstadt Süd,9015,50.831085,10.954958
Arrach,14930,49.195366,13.002804
Arsbeck,1863,51.151978,6.207082
Artern,5666,51.36324,11.310757
Artern,6486,51.36324,11.310757
Artern,8436,51.36324,11.310757
Arzberg(Oberfr),3522,50.054634,12.197692
As(CZ),5646,50.209435,12.199936
"Asch, Feuerwehrhaus",13675,47.948654,10.829829
"Asch, Freybergstraße",3764,47.940327,10.831248
Aschaffenburg Hbf,11364,49.980556,9.143697
Aschaffenburg Hbf,12042,49.980556,9.143697
Aschaffenburg Hbf,12823,49.980556,9.143697
Aschaffenburg Hbf,13726,49.980556,9.143697
Aschaffenburg Hbf,1688,49.980556,9.143697
Aschaffenburg Hbf,3841,49.980556,9.143697
Aschaffenburg Hbf,5179,49.980556,9.143697
Aschaffenburg Hbf,6470,49.980556,9.143697
Aschaffenburg Hbf,7667,49.980556,9.143697
Aschaffenburg Hochschule,12001,49.974445,9.160416
Aschaffenburg Hochschule,283,49.974445,9.160416
Aschaffenburg Süd,11746,49.968464,9.152586
Aschaffenburg Süd,12256,49.968464,9.152586
Aschaffenburg Süd,6652,49.968464,9.152586
Aschau(Chiemgau),902,47.779106,12.325564
Ascheberg(Holst),2950,54.148495,10.340002
Ascheberg(Holst),948,54.14846,10.339481
Ascheberg(Westf),2083,51.78251,7.600816
Aschendorf,12655,53.052177,7.337153
Aschendorf,2754,53.052177,7.337153
Aschersleben,11596,51.757122,11.465689
Aschersleben,2751,51.757122,11.465689
Aschersleben,4457,51.757122,11.465689
Aschersleben,7537,51.757122,11.465689
Aschersleben,8340,51.757122,11.465689
Ashausen,14889,53.368942,10.145061
Ashausen,2714,53.36856,10.145663
Asperg,11456,48.90729,9.148005
Asperg,4202,48.90723,9.147855
Asselheim,13859,49.576073,8.16097
Assenheim(Oberhess),1934,50.304886,8.812844
Assenheim(Oberhess),5735,50.304886,8.812844
Assmannshausen,13170,49.985676,7.867461
Assmannshausen,6292,49.985207,7.86736
Assmannshausen,6899,49.985207,7.86736
Attendorn,12234,51.124664,7.908247
Attendorn,2308,51.12459,7.908247
Attendorn-Hohen Hagen,8856,51.09014,7.855318
Au im Murgtal,444,48.71887,8.362349
Au(Sieg),10660,50.77417,7.658165
Au(Sieg),12303,50.77381,7.656188
Au(Sieg),1974,50.77368,7.656233
Au(Sieg),5172,50.774235,7.658129
Au(Sieg),7925,50.773724,7.656215
Au(Sieg),8394,50.7734,7.655676
Aue(Sachs),11024,50.591583,12.698549
Aue(Sachs),11030,50.591873,12.698567
Aue(Sachs),7615,50.591892,12.698675
Aue(Sachs) Erzgebirgsstadion,12311,50.596745,12.708978
Aue-Wingeshausen,6483,51.051857,8.289824
Auehütte,186,50.719673,10.416666
Auerbach(V) ob Bf,617,50.519135,12.382054
Auerbach(V) unt Bf,12252,50.511723,12.391421
Auerbach(Vogtl) Hp,10533,50.506954,12.379204
"Auerbach(b Mosbach, Baden)",11614,49.399536,9.222922
"Auerbach(b Mosbach, Baden)",811,49.399586,9.223551
Auestadion  Ri. H.-Heine-Straße,2521,51.2994,9.481509
Auestadion  Ri. Park Schönfeld,4059,51.298695,9.481014
Aufhausen(Württ),13631,48.85658,10.317717
Aufhausen(b Erding),7663,48.27508,11.893838
"Augartenstraße, Karlsruhe",3314,48.998466,8.403677
"Augartenstraße, Karlsruhe",4128,48.998966,8.403596
Auggen,12532,47.790146,7.586991
Auggen,5269,47.790127,7.587063
Augsburg Haunstetterstraße,10896,48.355286,10.900985
Augsburg Haunstetterstraße,291,48.355286,10.900985
Augsburg Haunstetterstraße,5923,48.355286,10.900985
Augsburg Haunstetterstraße,9068,48.355286,10.900985
Augsburg Hbf,11633,48.36544,10.88557
Augsburg Hbf,12497,48.36544,10.88557
Augsburg Hbf,1251,48.36544,10.88557
Augsburg Hbf,12548,48.36544,10.88557
Augsburg Hbf,1275,48.36544,10.88557
Augsburg Hbf,13036,48.36544,10.88557
Augsburg Hbf,13399,48.36544,10.88557
Augsburg Hbf,13851,48.36544,10.88557
Augsburg Hbf,13897,48.36544,10.88557
Augsburg Hbf,14333,48.36544,10.88557
Augsburg Hbf,14944,48.36544,10.88557
Augsburg Hbf,1553,48.36544,10.88557
Augsburg Hbf,1903,48.36544,10.88557
Augsburg Hbf,2122,48.36544,10.88557
Augsburg Hbf,2696,48.36544,10.88557
Augsburg Hbf,2729,48.36544,10.88557
Augsburg Hbf,3111,48.36544,10.88557
Augsburg Hbf,3138,48.36544,10.88557
Augsburg Hbf,5152,48.36544,10.88557
Augsburg Hbf,5217,48.36544,10.88557
Augsburg Hbf,5262,48.36544,10.88557
Augsburg Hbf,6231,48.36544,10.88557
Augsburg Hbf,6640,48.36544,10.88557
Augsburg Hbf,674,48.36544,10.88557
Augsburg Hbf,6927,48.36544,10.88557
Augsburg Hbf,6953,48.36544,10.88557
Augsburg Hbf,7981,48.36544,10.88557
Augsburg Hbf,9118,48.36544,10.88557
Augsburg Hbf,9302,48.36544,10.88557
Augsburg Hbf,9584,48.36544,10.88557
Augsburg Messe,4799,48.338684,10.886086
Augsburg Messe,8358,48.338684,10.886086
Augsburg Morellstr.,14652,48.355087,10.892948
Augsburg Morellstr.,9147,48.355087,10.892948
Augsburg-Hochzoll,10510,48.352978,10.943376
Augsburg-Hochzoll,11178,48.352978,10.943376
Augsburg-Hochzoll,7202,48.352978,10.943376
Augsburg-Hochzoll,8549,48.352978,10.943376
Augsburg-Oberhausen,11136,48.38077,10.872533
Augsburg-Oberhausen,1322,48.38077,10.872533
Augsburg-Oberhausen,3553,48.38077,10.872533
Augsburg-Oberhausen,6752,48.38077,10.872533
Augsburg-Oberhausen,8554,48.38077,10.872533
Augsburg-Oberhausen,9539,48.38077,10.872533
Augsburg-Oberhausen,9798,48.38077,10.872533
"August-Bebel-Straße, Karlsruhe",8087,49.024162,8.375802
"August-Bebel-Straße, Karlsruhe",9552,49.023914,8.375667
Augustfehn,10950,53.220943,7.759614
Augustfehn,14312,53.220844,7.75963
Aukrug,13104,54.082397,9.78581
Aulendorf,1517,47.952545,9.643747
Aulendorf,3108,47.95252,9.643945
Aulendorf,3502,47.95212,9.643882
Aulendorf,7072,47.952187,9.643477
Aulendorf,849,47.952534,9.643801
Aulendorf,9563,47.953053,9.644046
Aumenau,14560,50.400433,8.249571
Aumenau,6447,50.400433,8.249571
Aumühle,10739,53.52983,10.313567
Aumühle,11438,53.530003,10.314294
Aumühle,3876,53.529854,10.314672
Auringen-Medenbach,9267,50.113243,8.331002
Auw an der Kyll,3017,49.90341,6.614592
Auw an der Kyll,8545,49.903416,6.614511
Außenried,11268,49.015762,13.181763
Avignon TGV,11104,43.921936,4.786044
Aying,1542,47.968925,11.769448
Aying,7283,47.96886,11.769368
Aying,7688,47.96876,11.769578
Aßlar,7370,50.588657,8.462752
Aßlar,7979,50.588657,8.462752
Aßling(Oberbay),2505,47.989746,11.993318
Aßling(Oberbay),8873,47.98978,11.993497
B 2 Abzw. Wilzhofen,359,47.8721,11.170317
B 2 Abzw. Wilzhofen,6322,47.872246,11.170667
"B.R.-Grombach, Bahnhof,Grombach",7720,49.226173,8.996825
BOT Feldhausen Bf,2135,51.615124,6.973118
BOT Feldhausen Bf,6610,51.615135,6.97319
Baabe,14026,54.362316,13.704806
Baalberge,13357,51.763046,11.784682
Baalberge,4390,51.763046,11.784682
Baar-Ebenhausen,13153,48.67494,11.460092
Baar-Ebenhausen,6950,48.67494,11.460092
Babenhausen Langstadt,13411,49.921993,8.946867
Babenhausen(Hess),10644,49.95799,8.957544
Babenhausen(Hess),13015,49.95799,8.957544
Babenhausen(Hess),5137,49.95799,8.957544
Babenhausen(Hess),738,49.95799,8.957544
Babstadt,6785,49.240158,9.060327
Babylon,9196,49.398876,12.869049
Bacharach,2362,50.055283,7.769942
Bacharach,922,50.055298,7.769996
Bachern,13786,48.28016,11.378716
Bachern,9748,48.27953,11.380505
Bachfeld,1094,50.405773,10.982451
Bachheim,6115,47.862072,8.399751
Backnang,14744,48.942764,9.425933
Backnang,3594,48.942677,9.425989
Backnang,5290,48.942677,9.425989
Backnang,7312,48.942677,9.425989
Bad Abbach,11215,48.922733,11.994322
Bad Abbach,9774,48.922733,11.994322
Bad Aibling,10235,47.862026,12.004157
Bad Aibling,3360,47.862026,12.004157
Bad Aibling Kurpark,9144,47.857616,12.013823
Bad Arolsen,12251,51.3816,8.997792
Bad Arolsen,8202,51.3816,8.997792
Bad Bellingen,10817,47.73106,7.55758
Bad Bellingen,8408,47.731102,7.557697
Bad Belzig,7496,52.136063,12.59495
Bad Belzig,8757,52.135986,12.59494
Bad Bentheim,11072,52.30978,7.157785
Bad Bentheim,1277,52.309853,7.157776
Bad Bentheim,1877,52.309902,7.157758
